TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
redshift,aws_redshift_event_subscription,Event Subscription,0,0,1,2,1,CreateEventSubscription,/Users/hbwei/terraform-provider-aws/internal/service/redshift/event_subscription.go,redshift,redshift:CreateEventSubscription,redshift:CreateEventSubscription,eventsubscription,arn:${Partition}:redshift:${Region}:${Account}:eventsubscription:${EventSubscriptionName},,,,1,0
lightsail,aws_lightsail_instance,Instance,0,1,2,4,2,CreateInstances,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/instance.go,lightsail,lightsail:CreateInstances,lightsail:CreateInstances,,,,,,0,0
route53resolver,aws_route53_resolver_config,Config,0,0,1,2,1,UpdateResolverConfig,/Users/hbwei/terraform-provider-aws/internal/service/route53resolver/config.go,route53resolver,route53resolver:UpdateResolverConfig,route53resolver:UpdateResolverConfig,resolver-config,arn:${Partition}:route53resolver:${Region}:${Account}:resolver-config/${ResourceId},UpdateResolverConfig,UpdateResolverConfigRequest,true,1,1
iam,aws_iam_access_key,Access Key,0,0,0,2,2,CreateAccessKey,/Users/hbwei/terraform-provider-aws/internal/service/iam/access_key.go,iam,iam:CreateAccessKey,iam:CreateAccessKey,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},,,,1,0
backup,aws_backup_region_settings,Region Settings,0,0,1,2,1,UpdateRegionSettings,/Users/hbwei/terraform-provider-aws/internal/service/backup/region_settings.go,backup,backup:UpdateRegionSettings,backup:UpdateRegionSettings,,,,,,0,0
quicksight,aws_quicksight_data_set,Data Set,0,0,3,5,2,CreateDataSet,/Users/hbwei/terraform-provider-aws/internal/service/quicksight/data_set.go,quicksight,quicksight:CreateDataSet,quicksight:CreateDataSet,datasource,arn:${Partition}:quicksight:${Region}:${Account}:datasource/${ResourceId},,,,1,0
s3,aws_s3_bucket_intelligent_tiering_configuration,Bucket Intelligent-Tiering Configuration,0,0,1,2,1,PutBucketIntelligentTieringConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_intelligent_tiering_configuration.go,s3,s3:PutBucketIntelligentTieringConfiguration,s3:PutIntelligentTieringConfiguration,bucket,arn:${Partition}:s3:::${BucketName},,,,1,0
waf,aws_waf_regex_match_set,Regex Match Set,1,0,4,5,1,CreateRegexMatchSet,/Users/hbwei/terraform-provider-aws/internal/service/waf/regex_match_set.go,waf,waf:CreateRegexMatchSet,waf:CreateRegexMatchSet,regexmatchset,arn:${Partition}:waf::${Account}:regexmatch/${Id},,,,1,0
inspector2,aws_inspector2_delegated_admin_account,Delegated Admin Account,0,0,1,2,1,EnableDelegatedAdminAccount,/Users/hbwei/terraform-provider-aws/internal/service/inspector2/delegated_admin_account.go,inspector2,inspector2:EnableDelegatedAdminAccount,inspector2:EnableDelegatedAdminAccount,,,,,,0,0
cognitoidentity,aws_cognito_identity_pool,Pool,0,0,1,2,1,CreateIdentityPool,/Users/hbwei/terraform-provider-aws/internal/service/cognitoidentity/pool.go,cognito-identity,cognito-identity:CreateIdentityPool,cognito-identity:CreateIdentityPool,,,,,,0,0
ec2,aws_snapshot_create_volume_permission,EBS Snapshot CreateVolume Permission,0,0,1,2,1,ModifySnapshotAttribute,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_create_volume_permission.go,ec2,ec2:ModifySnapshotAttribute,ec2:ModifySnapshotAttribute,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},ModifySnapshotAttribute,ModifySnapshotAttributeRequest,true,1,1
vpclattice,aws_vpclattice_target_group,Target Group,0,0,1,2,1,CreateTargetGroup,/Users/hbwei/terraform-provider-aws/internal/service/vpclattice/target_group.go,vpc-lattice,vpc-lattice:CreateTargetGroup,vpc-lattice:CreateTargetGroup,TargetGroup,arn:${Partition}:vpc-lattice:${Region}:${Account}:targetgroup/${TargetGroupId},,,,1,0
ec2,aws_ebs_snapshot,EBS Snapshot,0,1,2,4,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},ModifySnapshotTier,ModifySnapshotTierRequest,true,1,1
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,PutLifecycleHook,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:PutLifecycleHook,autoscaling:PutLifecycleHook,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},,,,2,0
kms,aws_kms_replica_external_key,Replica External Key,0,0,7,8,1,ReplicateKey,/Users/hbwei/terraform-provider-aws/internal/service/kms/replica_external_key.go,kms,kms:ReplicateKey,kms:ReplicateKey,key,arn:${Partition}:kms:${Region}:${Account}:key/${KeyId},ReplicateKey,ReplicateKeyRequest,true,1,1
directconnect,aws_dx_hosted_public_virtual_interface_accepter,Hosted Public Virtual Interface Accepter,0,0,2,3,1,ConfirmPublicVirtualInterface,/Users/hbwei/terraform-provider-aws/internal/service/directconnect/hosted_public_virtual_interface_accepter.go,directconnect,directconnect:ConfirmPublicVirtualInterface,directconnect:ConfirmPublicVirtualInterface,dxvif,arn:${Partition}:directconnect:${Region}:${Account}:dxvif/${VirtualInterfaceId},ConfirmPublicVirtualInterface,ConfirmPublicVirtualInterfaceRequest,true,1,1
redshift,aws_redshift_snapshot_copy_grant,Snapshot Copy Grant,0,0,1,2,1,CreateSnapshotCopyGrant,/Users/hbwei/terraform-provider-aws/internal/service/redshift/snapshot_copy_grant.go,redshift,redshift:CreateSnapshotCopyGrant,redshift:CreateSnapshotCopyGrant,snapshotcopygrant,arn:${Partition}:redshift:${Region}:${Account}:snapshotcopygrant:${SnapshotCopyGrantName},CreateSnapshotCopyGrant,CreateSnapshotCopyGrantMessage,true,1,1
ses,aws_ses_configuration_set,Configuration Set,0,0,1,6,5,UpdateConfigurationSetReputationMetricsEnabled,/Users/hbwei/terraform-provider-aws/internal/service/ses/configuration_set.go,ses,ses:UpdateConfigurationSetReputationMetricsEnabled,ses:UpdateConfigurationSetReputationMetricsEnabled,,,,,,0,0
apprunner,aws_apprunner_auto_scaling_configuration_version,AutoScaling Configuration Version,0,0,1,2,1,CreateAutoScalingConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/apprunner/auto_scaling_configuration_version.go,apprunner,apprunner:CreateAutoScalingConfiguration,apprunner:CreateAutoScalingConfiguration,autoscalingconfiguration,arn:${Partition}:apprunner:${Region}:${Account}:autoscalingconfiguration/${AutoscalingConfigurationName}/${AutoscalingConfigurationVersion}/${AutoscalingConfigurationId},,,,2,0
ec2,aws_ebs_snapshot_block_public_access,EBS Snapshot Block Public Access,0,0,1,2,1,EnableSnapshotBlockPublicAccess,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_block_public_access.go,ec2,ec2:EnableSnapshotBlockPublicAccess,ec2:EnableSnapshotBlockPublicAccess,,,,,,0,0
sagemaker,aws_sagemaker_device,Device,0,0,1,2,1,RegisterDevices,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/device.go,sagemaker,sagemaker:RegisterDevices,sagemaker:RegisterDevices,device,arn:${Partition}:sagemaker:${Region}:${Account}:device-fleet/${DeviceFleetName}/device/${DeviceName},,,,1,0
kendra,aws_kendra_experience,Experience,0,0,1,2,1,CreateExperience,/Users/hbwei/terraform-provider-aws/internal/service/kendra/experience.go,kendra,kendra:CreateExperience,kendra:CreateExperience,index,arn:${Partition}:kendra:${Region}:${Account}:index/${IndexId},CreateExperience,CreateExperienceRequest,true,1,1
