TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
iam,aws_iam_service_specific_credential,Service Specific Credential,0,0,1,3,2,CreateServiceSpecificCredential,/Users/hbwei/terraform-provider-aws/internal/service/iam/service_specific_credential.go,iam,iam:CreateServiceSpecificCredential,iam:CreateServiceSpecificCredential,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},UserNameWithPath,,,,,,,false
ecr,aws_ecr_registry_policy,Registry Policy,0,0,1,2,1,PutRegistryPolicy,/Users/hbwei/terraform-provider-aws/internal/service/ecr/registry_policy.go,ecr,ecr:PutRegistryPolicy,ecr:PutRegistryPolicy,,,,,,,,,,false
dataexchange,aws_dataexchange_data_set,Data Set,0,0,1,2,1,CreateDataSet,/Users/hbwei/terraform-provider-aws/internal/service/dataexchange/data_set.go,dataexchange,dataexchange:CreateDataSet,dataexchange:CreateDataSet,data-sets,arn:${Partition}:dataexchange:${Region}:${Account}:data-sets/${DataSetId},DataSetId,,,,,,,false
rds,aws_db_instance_role_association,DB Instance IAM Role Association,0,0,1,2,1,AddRoleToDBInstance,/Users/hbwei/terraform-provider-aws/internal/service/rds/instance_role_association.go,rds,rds:AddRoleToDBInstance,rds:AddRoleToDBInstance,db,arn:${Partition}:rds:${Region}:${Account}:db:${DbInstanceName},DbInstanceName,,,,,,,false
synthetics,aws_synthetics_group_association,Group Association,0,0,1,2,1,AssociateResource,/Users/hbwei/terraform-provider-aws/internal/service/synthetics/group_association.go,synthetics,synthetics:AssociateResource,synthetics:AssociateResource,group,arn:${Partition}:synthetics:${Region}:${Account}:group:${GroupId},GroupId,,,,,,,false
waf,aws_waf_web_acl,Web ACL,1,1,2,6,3,CreateWebACL,/Users/hbwei/terraform-provider-aws/internal/service/waf/web_acl.go,waf,waf:CreateWebACL,waf:CreateWebACL,webacl,arn:${Partition}:waf::${Account}:webacl/${Id},Id,,,,,,,false
s3,aws_s3_bucket_logging,Bucket Logging,0,0,1,2,1,PutBucketLogging,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_logging.go,s3,s3:PutBucketLogging,s3:PutBucketLogging,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
dax,aws_dax_parameter_group,Parameter Group,0,0,3,4,1,CreateParameterGroup,/Users/hbwei/terraform-provider-aws/internal/service/dax/parameter_group.go,dax,dax:CreateParameterGroup,dax:CreateParameterGroup,,,,,,,,,,false
iot,aws_iot_logging_options,Logging Options,0,0,1,2,1,SetV2LoggingOptions,/Users/hbwei/terraform-provider-aws/internal/service/iot/logging_options.go,iot,iot:SetV2LoggingOptions,iot:SetV2LoggingOptions,,,,,,,,,,false
route53,aws_route53_vpc_association_authorization,VPC Association Authorization,0,0,1,2,1,CreateVPCAssociationAuthorization,/Users/hbwei/terraform-provider-aws/internal/service/route53/vpc_association_authorization.go,route53,route53:CreateVPCAssociationAuthorization,route53:CreateVPCAssociationAuthorization,hostedzone,arn:${Partition}:route53:::hostedzone/${Id},Id,,,,,,,false
s3,aws_s3_bucket_accelerate_configuration,Bucket Accelerate Configuration,0,0,1,2,1,PutBucketAccelerateConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_accelerate_configuration.go,s3,s3:PutBucketAccelerateConfiguration,s3:PutAccelerateConfiguration,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
logs,aws_cloudwatch_log_destination_policy,Destination Policy,0,0,1,2,1,PutDestinationPolicy,/Users/hbwei/terraform-provider-aws/internal/service/logs/destination_policy.go,logs,logs:PutDestinationPolicy,logs:PutDestinationPolicy,destination,arn:${Partition}:logs:${Region}:${Account}:destination:${DestinationName},DestinationName,PutDestinationPolicy,PutDestinationPolicyRequest,destinationName,true,DestinationName,string,true
codestarconnections,aws_codestarconnections_host,Host,0,0,1,2,1,CreateHost,/Users/hbwei/terraform-provider-aws/internal/service/codestarconnections/host.go,codestar-connections,codestar-connections:CreateHost,codestar-connections:CreateHost,,,,,,,,,,false
signer,aws_signer_signing_job,Signing Job,0,0,1,2,1,StartSigningJob,/Users/hbwei/terraform-provider-aws/internal/service/signer/signing_job.go,signer,signer:StartSigningJob,signer:StartSigningJob,signing-profile,arn:${Partition}:signer:${Region}:${Account}:/signing-profiles/${ProfileName},ProfileName,StartSigningJob,StartSigningJobRequest,profileName,true,ProfileName,string,true
kinesisanalytics,aws_kinesis_analytics_application,Application,0,0,2,4,2,AddApplicationReferenceDataSource,/Users/hbwei/terraform-provider-aws/internal/service/kinesisanalytics/application.go,kinesisanalytics,kinesisanalytics:AddApplicationReferenceDataSource,kinesisanalytics:AddApplicationReferenceDataSource,application,arn:${Partition}:kinesisanalytics:${Region}:${Account}:application/${ApplicationName},ApplicationName,AddApplicationReferenceDataSource,AddApplicationReferenceDataSourceRequest,ApplicationName,true,ApplicationName,string,true
cloudtrail,aws_cloudtrail_event_data_store,Event Data Store,0,0,1,2,1,CreateEventDataStore,/Users/hbwei/terraform-provider-aws/internal/service/cloudtrail/event_data_store.go,cloudtrail,cloudtrail:CreateEventDataStore,cloudtrail:CreateEventDataStore,eventdatastore,arn:${Partition}:cloudtrail:${Region}:${Account}:eventdatastore/${EventDataStoreId},EventDataStoreId,,,,,,,false
